"Name","BD","Num","Pos","Team","GP","G","A","PTS","Pts/G","PPG"
"Matthew Maggio","Nov 25, 2002",81,"RW","Windsor Spitfires",40,34,27,61,1.53,3
"Colby Barlow","Feb 14, 2005",39,"LW","Owen Sound Attack",40,33,27,60,1.5,9
"Francesco Arcuri (total)","Jun 13, 2003",13,"LW","Kitchener Rangers",43,30,20,50,1.16,14
"Avery Hayes (total)","Oct 10, 2002",29,"RW","Peterborough Petes",40,30,18,48,1.2,15
"James Hardie","Jan 18, 2002",14,"LW","Mississauga Steelheads",41,28,29,57,1.39,4
"David Goyette","Mar 27, 2004",88,"C","Sudbury Wolves",40,27,31,58,1.45,7
"Nolan Burke","Dec  9, 2002",86,"C","Sarnia Sting",32,27,17,44,1.38,13
"Alex Christopoulos","Mar 26, 2003",48,"RW","Windsor Spitfires",42,26,18,44,1.05,5
"Kyle Jackson","Oct 17, 2002",26,"C","North Bay Battalion",43,25,34,59,1.37,7
"Amadeus Lombardi","Jun  5, 2003",93,"C","Flint Firebirds",43,25,28,53,1.23,6
"Francesco Pinelli","Apr 11, 2003",71,"C","Kitchener Rangers",33,25,24,49,1.48,6
"Tucker Robertson","Jun 22, 2003",22,"C","Peterborough Petes",43,24,31,55,1.28,8
"Bryce McConnell-Barker","Jun  4, 2004",18,"C","Soo Greyhounds",43,24,28,52,1.21,10
"Brett Harrison (total)","Jun  7, 2003",44,"C","Windsor Spitfires",36,24,24,48,1.33,5
"Gavin Hayes","May 14, 2004",29,"RW","Flint Firebirds",42,24,19,43,1.02,7
"Brady Stonehouse","Aug  6, 2004",17,"RW","Ottawa 67's",42,24,13,37,0.88,7
"Sasha Pastujov (total)","Jul 15, 2003",36,"LW","Sarnia Sting",34,23,28,51,1.5,9
"Ethan Cardwell","Aug 30, 2002",11,"C","Barrie Colts",36,22,26,48,1.33,1
"Logan Morrison (total)","Jul  9, 2002",16,"C","Ottawa 67's",37,21,40,61,1.65,5
"J.R. Avon","Jul  4, 2003",10,"LW","Peterborough Petes",40,21,26,47,1.18,6
"Josh Bloom (total)","Jun  8, 2003",18,"LW","North Bay Battalion",45,21,26,47,1.04,7
"Matvey Petrov","Mar 12, 2003",22,"LW","North Bay Battalion",42,20,41,61,1.45,3
"George Diaco (total)","Feb 14, 2002",14,"LW","London Knights",40,20,32,52,1.3,8
"Deni Goure","Jul 15, 2003",7,"C","Owen Sound Attack",37,20,27,47,1.27,8
"Luca DelBelBelluz (total)","Nov 10, 2003",73,"C","Sarnia Sting",40,20,26,46,1.15,6
"Michael Misa","Feb 16, 2007",77,"LW","Saginaw Spirit",36,20,25,45,1.25,5
"Kalvyn Watson","May 15, 2002",28,"RW","Soo Greyhounds",43,20,24,44,1.02,7
"Braeden Kressler","Jan  5, 2003",13,"C","Flint Firebirds",32,20,21,41,1.28,6
"Reid Valade","Mar 14, 2002",55,"LW","Kitchener Rangers",38,20,13,33,0.87,8
"Evan Vierling","Jun 20, 2002",41,"C","Barrie Colts",35,19,33,52,1.49,8
"Connor Lockhart","Jan 21, 2003",18,"RW","Peterborough Petes",41,19,33,52,1.27,4
"Owen Beck (total)","Feb  3, 2004",16,"C","Peterborough Petes",36,19,24,43,1.19,5
"Nick DeGrazia","Dec  3, 2002",16,"LW","Sudbury Wolves",37,19,20,39,1.05,3
"Nick Lardis (total)","Jul  8, 2005",16,"RW","Hamilton Bulldogs",44,19,13,32,0.73,3
"Dalyn Wakely","Mar  5, 2004",14,"C","North Bay Battalion",43,19,12,31,0.72,3
"Sean McGurn","Jul 30, 2002",16,"C","London Knights",41,18,34,52,1.27,4
"Ryan Gagnier","Jul 16, 2002",67,"C","Oshawa Generals",41,18,27,45,1.1,7
"Luca Pinelli","Apr  5, 2005",20,"LW","Ottawa 67's",41,18,27,45,1.1,6
