"Name","BD","Pos","Team","GP","G","A","PTS","Pts/G","G/GP"
"Avery Hayes (total)","Oct 10, 2002","RW","Peterborough Petes",34,29,14,43,1.26,0.85
"Matthew Maggio","Nov 25, 2002","RW","Windsor Spitfires",34,28,23,51,1.5,0.82
"Francesco Arcuri (total)","Jun 13, 2003","LW","Kitchener Rangers",37,26,19,45,1.22,0.7
"David Goyette","Mar 27, 2004","C","Sudbury Wolves",34,25,26,51,1.5,0.74
"Colby Barlow","Feb 14, 2005","LW","Owen Sound Attack",33,25,21,46,1.39,0.76
"Alex Christopoulos","Mar 26, 2003","RW","Windsor Spitfires",36,25,15,40,1.11,0.69
"Kyle Jackson","Oct 17, 2002","C","North Bay Battalion",37,24,27,51,1.38,0.65
"James Hardie","Jan 18, 2002","LW","Mississauga Steelheads",35,24,21,45,1.29,0.69
"Amadeus Lombardi","Jun  5, 2003","C","Flint Firebirds",37,23,27,50,1.35,0.62
"Nolan Burke","Dec  9, 2002","C","Sarnia Sting",27,23,14,37,1.37,0.85
"Sasha Pastujov (total)","Jul 15, 2003","LW","Sarnia Sting",29,22,26,48,1.66,0.76
"Gavin Hayes","May 14, 2004","RW","Flint Firebirds",36,22,16,38,1.06,0.61
"Tucker Robertson","Jun 22, 2003","C","Peterborough Petes",37,21,27,48,1.3,0.57
"Bryce McConnell-Barker","Jun  4, 2004","C","Soo Greyhounds",37,21,26,47,1.27,0.57
"Francesco Pinelli","Apr 11, 2003","C","Kitchener Rangers",27,21,22,43,1.59,0.78
"Josh Bloom (total)","Jun  8, 2003","LW","North Bay Battalion",39,21,22,43,1.1,0.54
"Logan Morrison (total)","Jul  9, 2002","C","Ottawa 67's",35,20,38,58,1.66,0.57
"Luca DelBelBelluz (total)","Nov 10, 2003","C","Sarnia Sting",35,20,22,42,1.2,0.57
"Brady Stonehouse","Aug  6, 2004","RW","Ottawa 67's",36,20,11,31,0.86,0.56
"Ethan Cardwell","Aug 30, 2002","C","Barrie Colts",30,19,24,43,1.43,0.63
"J.R. Avon","Jul  4, 2003","C","Peterborough Petes",34,19,22,41,1.21,0.56
"Michael Misa","Feb 16, 2007","LW","Saginaw Spirit",31,19,20,39,1.26,0.61
"Dalyn Wakely","Mar  5, 2004","C","North Bay Battalion",37,19,11,30,0.81,0.51
"Evan Vierling","Jun 20, 2002","C","Barrie Colts",29,18,27,45,1.55,0.62
"George Diaco (total)","Feb 14, 2002","LW","London Knights",35,18,27,45,1.29,0.51
"Braeden Kressler","Jan  5, 2003","C","Flint Firebirds",26,18,16,34,1.31,0.69
"Carson Rehkopf","Jan  7, 2005","C","Kitchener Rangers",34,18,15,33,0.97,0.53
"Owen Beck (total)","Feb  3, 2004","C","Peterborough Petes",30,17,23,40,1.33,0.57
"Deni Goure","Jul 15, 2003","C","Owen Sound Attack",30,17,20,37,1.23,0.57
"Kalvyn Watson","May 15, 2002","RW","Soo Greyhounds",37,17,20,37,1,0.46
