"Name","Pos","Team","GP","G","A","PTS","Pts/G"
"Ty Voit","RW","Sarnia Sting",32,9,44,53,1.66
"Logan Morrison","C","Hamilton Bulldogs",28,17,28,45,1.61
"Matthew Maggio","RW","Windsor Spitfires",27,23,21,44,1.63
"Amadeus Lombardi","C","Flint Firebirds",31,21,23,44,1.42
"Pavel Mintyukov","D","Saginaw Spirit",31,13,30,43,1.39
"Quentin Musty","LW","Sudbury Wolves",26,11,30,41,1.58
"Sasha Pastujov (total)","LW","Sarnia Sting",25,20,20,40,1.6
"Kyle Jackson","C","North Bay Battalion",30,18,22,40,1.33
"Owen Beck","C","Mississauga Steelheads",26,16,23,39,1.5
"Christian Kyrou (total)","D","Sarnia Sting",29,10,29,39,1.34
"David Goyette","C","Sudbury Wolves",27,21,17,38,1.41
"James Hardie","LW","Mississauga Steelheads",30,21,17,38,1.27
"Matvey Petrov","LW","North Bay Battalion",29,11,27,38,1.31
"Colby Barlow","LW","Owen Sound Attack",27,20,17,37,1.37
"Deni Goure","C","Owen Sound Attack",29,17,20,37,1.28
"Sean McGurn","C","London Knights",29,12,25,37,1.28
"Ty Nelson","D","North Bay Battalion",30,9,28,37,1.23
"Avery Hayes","RW","Hamilton Bulldogs",28,24,12,36,1.29
"Francesco Arcuri (total)","LW","Kitchener Rangers",30,24,12,36,1.2
"Francesco Pinelli","C","Kitchener Rangers",23,19,17,36,1.57
"Josh Bloom (total)","LW","North Bay Battalion",32,17,19,36,1.13
"Brett Bressette","C","Erie Otters",29,13,23,36,1.24
"Cedrick Guindon","C","Owen Sound Attack",30,11,25,36,1.2
"Brennan Othmann (total)","LW","Peterborough Petes",26,13,22,35,1.35
"Luca DelBelBelluz","C","Mississauga Steelheads",29,17,17,34,1.17
"Tucker Robertson","C","Peterborough Petes",31,15,19,34,1.1
"George Diaco (total)","LW","London Knights",28,14,20,34,1.21
"Oliver Peer","RW","Windsor Spitfires",29,13,21,34,1.17
"Luca Pinelli","LW","Ottawa 67's",29,13,21,34,1.17
"Cameron Tolnai","C","Ottawa 67's",29,13,21,34,1.17
"Evan Vierling","C","Barrie Colts",22,12,22,34,1.55
"Matthew Poitras","C","Guelph Storm",26,6,28,34,1.31
"Alex Christopoulos","RW","Windsor Spitfires",29,21,12,33,1.14
"Ethan Cardwell","C","Barrie Colts",23,14,19,33,1.43
"Connor Lockhart","C","Peterborough Petes",29,9,24,33,1.14
"Michael Misa","LW","Saginaw Spirit",25,16,16,32,1.28
"Bryce McConnell-Barker","C","Soo Greyhounds",30,16,16,32,1.07
"Vinzenz Rohrer","RW","Ottawa 67's",26,11,21,32,1.23
"Nolan Burke","C","Sarnia Sting",23,19,12,31,1.35
"Matyas Sapovaliv","C","Saginaw Spirit",30,11,19,30,1
"Jacob Frasca","C","Barrie Colts",28,10,20,30,1.07
"Gavin Hayes","RW","Flint Firebirds",30,15,14,29,0.97
"J.R. Avon","C","Peterborough Petes",28,14,15,29,1.04
"Jacob Maillet","C","Windsor Spitfires",29,11,18,29,1
"Dean Loukus","RW","Saginaw Spirit",30,10,19,29,0.97
"Ryan Gagnier","C","Oshawa Generals",28,9,20,29,1.04
"Brett Harrison","C","Oshawa Generals",23,16,12,28,1.22
"Servac Petrovsky","C","Owen Sound Attack",27,14,14,28,1.04
"Justin Ertel","LW","North Bay Battalion",30,10,18,28,0.93
"Calem Mangone","RW","Saginaw Spirit",31,9,19,28,0.9
"Tyler Savard","LW","Soo Greyhounds",26,8,20,28,1.08
"Brady Stonehouse","RW","Ottawa 67's",29,16,11,27,0.93
"Spencer Sova","D","Erie Otters",29,14,13,27,0.93
"Kalvyn Watson","RW","Soo Greyhounds",30,13,14,27,0.9
"Calum Ritchie","C","Oshawa Generals",28,10,17,27,0.96
"Matthew Soto","RW","Kingston Frontenacs",29,10,17,27,0.93
"Denver Barkey","C","London Knights",29,7,20,27,0.93
"Dmitry Kuzmin","D","Flint Firebirds",31,6,21,27,0.87
"Dalyn Wakely","C","North Bay Battalion",30,16,10,26,0.87
"Ethan Miedema","LW","Windsor Spitfires",29,11,15,26,0.9
"Riley Piercey","RW","Flint Firebirds",31,11,15,26,0.84
"Zacharie Giroux","C","Flint Firebirds",31,10,16,26,0.84
"Ryan Abraham","C","Windsor Spitfires",21,8,18,26,1.24
"Jack Matier","D","Ottawa 67's",26,8,18,26,1
"Brody Crane","LW","London Knights",29,8,18,26,0.9
"Lleyton Moore (total)","D","Kitchener Rangers",28,4,22,26,0.93
"Carson Rehkopf","C","Kitchener Rangers",27,15,10,25,0.93
"Chase Stillman","RW","Peterborough Petes",27,12,13,25,0.93
"Danny Zhilkin","C","Guelph Storm",23,11,14,25,1.09
"Coulson Pitre","RW","Flint Firebirds",29,10,15,25,0.86
"Sandis Vilmanis","LW","Sarnia Sting",29,11,13,24,0.83
"Cameron Butler","RW","Oshawa Generals",26,10,14,24,0.92
"Colton Smith","LW","Windsor Spitfires",27,10,14,24,0.89
"Linus Hemström","RW","Kingston Frontenacs",30,7,17,24,0.8
"Hunter Brzustewicz","D","Kitchener Rangers",27,2,22,24,0.89
"Braeden Kressler","C","Flint Firebirds",20,12,11,23,1.15
"Nick DeGrazia","LW","Sudbury Wolves",24,10,13,23,0.96
"Marcus Limpar-Lantz","C","Sarnia Sting",29,9,14,23,0.79
"Matthew Sop","LW","Kitchener Rangers",26,6,17,23,0.88
"Michael Buchinger","D","Guelph Storm",24,5,18,23,0.96
